shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3_2,41.76237576,-111.8211733,521,
3,41.76237576,-111.8211733,521,
3_2,41.76238256,-111.8211829,522,
3,41.76238256,-111.8211829,522,
3_2,41.76238935,-111.8211924,523,
3,41.76238935,-111.8211924,523,
3_2,41.76239845,-111.8212021,524,
3,41.76239845,-111.8212021,524,
3_2,41.76240525,-111.8212117,525,
3,41.76240525,-111.8212117,525,
3_2,41.7624144,-111.8212182,526,
3,41.7624144,-111.8212182,526,
3_2,41.76242125,-111.8212247,527,
3,41.76242125,-111.8212247,527,
3_2,41.76243036,-111.8212343,528,
3,41.76243036,-111.8212343,528,
3_2,41.76243947,-111.821244,529,
3,41.76243947,-111.821244,529,
3_2,41.76244864,-111.8212506,530,
3,41.76244864,-111.8212506,530,
3_2,41.7624578,-111.8212571,531,
3,41.7624578,-111.8212571,531,
3_2,41.76246927,-111.8212637,532,
3,41.76246927,-111.8212637,532,
3_2,41.76247848,-111.8212671,533,
3,41.76247848,-111.8212671,533,
3_2,41.76248769,-111.8212705,534,
3,41.76248769,-111.8212705,534,
3_2,41.7624969,-111.8212739,535,
3,41.7624969,-111.8212739,535,
3_2,41.76250603,-111.8212836,536,
3,41.76250603,-111.8212836,536,
3_2,41.7625152,-111.8212901,537,
3,41.7625152,-111.8212901,537,
3_2,41.76251748,-111.8212933,538,
3,41.76251748,-111.8212933,538,
3_2,41.76253805,-111.8213126,539,
3,41.76253805,-111.8213126,539,
3_2,41.76254723,-111.8213192,540,
3,41.76254723,-111.8213192,540,
3_2,41.76255646,-111.8213226,541,
3,41.76255646,-111.8213226,541,
3_2,41.76256572,-111.8213229,542,
3,41.76256572,-111.8213229,542,
3_2,41.76257722,-111.8213295,543,
3,41.76257722,-111.8213295,543,
3_2,41.76258413,-111.8213329,544,
3,41.76258413,-111.8213329,544,
3_2,41.76259796,-111.8213396,545,
3,41.76259796,-111.8213396,545,
3_2,41.76260719,-111.821343,546,
3,41.76260719,-111.821343,546,
3_2,41.76261642,-111.8213464,547,
3,41.76261642,-111.8213464,547,
3_2,41.76262562,-111.821353,548,
3,41.76262562,-111.821353,548,
3_2,41.76263486,-111.8213564,549,
3,41.76263486,-111.8213564,549,
3_2,41.7626441,-111.8213599,550,
3,41.7626441,-111.8213599,550,
3_2,41.76265334,-111.8213633,551,
3,41.76265334,-111.8213633,551,
3_2,41.76266491,-111.8213669,552,
3,41.76266491,-111.8213669,552,
3_2,41.76267419,-111.8213672,553,
3,41.76267419,-111.8213672,553,
3_2,41.76268344,-111.8213706,554,
