link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000056,1500051,1500064,bus,1,11.1,1,service_links,347.4492632382722,3,999999,20846.95579429633,0,0.0,2999997,0.15,4,0,"LINESTRING (-111.84119 41.75779, -111.845377 41.757881)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,8,11.1:1;2;3;4;5;6;7;8;9;10;11
1000057,1500064,1500052,bus,1,11.1,1,service_links,296.05721999576963,3,999999,17.745687512233943,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.845377 41.757881, -111.848887 41.758364)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,9,11.1:1;2;3;4;5;6;7;8;9;10;11
1000058,1500052,1500053,bus,1,11.1,1,service_links,760.5943798040608,3,999999,22.80642818003181,0,2.0,2999997,0.15,4,0,"LINESTRING (-111.848887 41.758364, -111.847735 41.76515)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,10,11.1:1;2;3;4;5;6;7;8;9;10;11
1000059,1500084,1500087,bus,1,11.2,1,service_links,371.99117617834827,6,999999,22319.470570700898,0,0.0,5999994,0.15,4,0,"LINESTRING (-111.847735 41.76515, -111.843251 41.765074)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,11,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000060,1500087,1500089,bus,1,11.2,1,service_links,193.45617721894558,6,999999,11.595774858278457,0,1.0,5999994,0.15,4,0,"LINESTRING (-111.843251 41.765074, -111.84092 41.765011)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,12,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000061,1500089,1500090,bus,1,11.2,1,service_links,234.57342733427984,6,999999,14074.40564005679,0,0.0,5999994,0.15,4,0,"LINESTRING (-111.84092 41.765011, -111.839173 41.763352)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,13,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000062,1500090,1500091,bus,1,11.2,1,service_links,537.9497807867518,6,999999,32.24474210510001,0,1.0,5999994,0.15,4,0,"LINESTRING (-111.839173 41.763352, -111.839298 41.758515)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,14,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000063,1500091,1500092,bus,1,11.2,1,service_links,286.8093340056829,6,999999,17208.560040340974,0,0.0,5999994,0.15,4,0,"LINESTRING (-111.839298 41.758515, -111.839354 41.755936)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,15,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000064,1500092,1500093,bus,1,11.2,1,service_links,250.5179075359546,6,999999,15031.074452157276,0,0.0,5999994,0.15,4,0,"LINESTRING (-111.839354 41.755936, -111.83948 41.753685)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,16,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000065,1500093,1500094,bus,1,11.2,1,service_links,484.037913473358,6,999999,29.01326154685463,0,1.0,5999994,0.15,4,0,"LINESTRING (-111.83948 41.753685, -111.83951 41.749332)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,17,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000066,1500094,1500095,bus,1,11.2,1,service_links,400.8109291821307,6,999999,12.018318716105867,0,2.0,5999994,0.15,4,0,"LINESTRING (-111.83951 41.749332, -111.839653 41.745729)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,18,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000067,1500095,1500096,bus,1,11.2,1,service_links,371.49344444525815,6,999999,22.267339327388104,0,1.0,5999994,0.15,4,0,"LINESTRING (-111.839653 41.745729, -111.83998 41.742397)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,19,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000068,1500096,1500097,bus,1,11.2,1,service_links,337.05255792670937,6,999999,10.106523476063249,0,2.0,5999994,0.15,4,0,"LINESTRING (-111.83998 41.742397, -111.83644 41.74091)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,20,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000069,1500097,1500065,bus,1,11.2,1,service_links,475.41774054789545,6,999999,14.255404514179773,0,2.0,5999994,0.15,4,0,"LINESTRING (-111.83644 41.74091, -111.830729 41.740562)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,21,11.2:11;12;13;14;15;16;17;18;19;20;21;22
1000070,1500066,1500068,bus,1,11.2,1,service_links,471.57150419664885,44,999999,28.266024227571364,0,1.0,43999956,0.15,4,0,"LINESTRING (-111.830729 41.740562, -111.836381 41.741009)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,1,11.2:1;2;3;4;5;6;7;8;9;10;11
