trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
3S_1500,5716,2,,"",0,426876,22525,
3S_1600,5716,2,,"",0,426876,22525,
3S_1700,5716,2,,"",0,426876,22525,
3S_1800,5716,2,,"",0,426876,22525,
5_0606,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0630,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0700,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0730,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0800,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0830,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0900,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_0930,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1000,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1030,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1100,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1130,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1200,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1230,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1300,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1330,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1400,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1430,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1500,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1530,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1600,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1630,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1700,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1730,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1800,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1830,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1900,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_1930,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_2000,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5_2030,5718,1,"North Logan, CV Hospital","",0,426857,19738,
5S_1030,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1130,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1230,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1330,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1430,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1530,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1630,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1730,5718,2,"North Logan, CV Hospital","",1,426875,19760,
5S_1830,5718,2,"North Logan, CV Hospital","",0,426875,19738,
6_0612,5721,1,,"",0,426858,25192,
6_0630,5721,1,,"",0,426858,25192,
6_0700,5721,1,,"",0,426858,25192,
6_0730,5721,1,,"",0,426858,25192,
6_0800,5721,1,,"",0,426858,25192,
6_0830,5721,1,,"",0,426858,25192,
6_0900,5721,1,,"",0,426858,25192,
6_0930,5721,1,,"",0,426858,25192,
6_1000,5721,1,,"",0,426858,25192,
6_1030,5721,1,,"",0,426858,25192,
6_1100,5721,1,,"",0,426858,25192,
6_1130,5721,1,,"",0,426858,25192,
6_1200,5721,1,,"",0,426858,25192,
6_1230,5721,1,,"",0,426858,25192,
6_1300,5721,1,,"",0,426858,25192,
6_1330,5721,1,,"",0,426858,25192,
6_1400,5721,1,,"",0,426858,25192,
6_1430,5721,1,,"",0,426858,25192,
6_1500,5721,1,,"",0,426858,25192,
6_1530,5721,1,,"",0,426858,25192,
6_1600,5721,1,,"",0,426858,25192,
6_1630,5721,1,,"",0,426858,25192,
6_1700,5721,1,,"",0,426858,25192,
6_1730,5721,1,,"",0,426858,25192,
6_1800,5721,1,,"",0,426858,25192,
6_1830,5721,1,,"",0,426858,25192,
6_1900,5721,1,,"",0,426858,25192,
6_1930,5721,1,,"",0,426858,25192,
6_2000,5721,1,,"",0,426858,25192,
6_2030,5721,1,,"",0,426858,25192,
6S_1012,5721,2,,"",0,426877,25197,
6S_1100,5721,2,,"",0,426877,25197,
6S_1200,5721,2,,"",0,426877,25197,
6S_1300,5721,2,,"",0,426877,25197,
6S_1400,5721,2,,"",0,426877,25197,
6S_1500,5721,2,,"",0,426877,25197,
6S_1600,5721,2,,"",0,426877,25197,
6S_1700,5721,2,,"",0,426877,25197,
6S_1800,5721,2,,"",0,426877,25197,
7_0609,5742,1,,"",0,426859,25193,
7_0630,5742,1,,"",0,426859,25193,
7_0700,5742,1,,"",0,426859,25193,
7_0730,5742,1,,"",0,426859,25193,
7_0800,5742,1,,"",0,426859,25193,
7_0830,5742,1,,"",0,426859,25193,
7_0900,5742,1,,"",0,426859,25193,
7_0930,5742,1,,"",0,426859,25193,
7_1000,5742,1,,"",0,426859,25193,
7_1030,5742,1,,"",0,426859,25193,
7_1100,5742,1,,"",0,426859,25193,
7_1130,5742,1,,"",0,426859,25193,
7_1200,5742,1,,"",0,426859,25193,
7_1230,5742,1,,"",0,426859,25193,
7_1300,5742,1,,"",0,426859,25193,
7_1330,5742,1,,"",0,426859,25193,
7_1400,5742,1,,"",0,426859,25193,
7_1430,5742,1,,"",0,426859,25193,
7_1500,5742,1,,"",0,426859,25193,
7_1530,5742,1,,"",0,426859,25193,
7_1600,5742,1,,"",0,426859,25193,
7_1630,5742,1,,"",0,426859,25193,
7_1700,5742,1,,"",0,426859,25193,
7_1730,5742,1,,"",0,426859,25193,
7_1800,5742,1,,"",0,426859,25193,
7_1830,5742,1,,"",0,426859,25193,
7_1900,5742,1,,"",0,426859,25193,
7_1930,5742,1,,"",0,426859,25193,
7_2000,5742,1,,"",0,426859,25193,
7_2030,5742,1,,"",0,426859,25193,
7S_1030,5742,2,,"",1,426877,25196,
7S_1130,5742,2,,"",1,426877,25196,
7S_1230,5742,2,,"",1,426877,25196,
7S_1330,5742,2,,"",1,426877,25196,
7S_1430,5742,2,,"",1,426877,25196,
7S_1530,5742,2,,"",1,426877,25196,
7S_1630,5742,2,,"",1,426877,25196,
7S_1730,5742,2,,"",1,426877,25196,
7S_1830,5742,2,,"",0,426877,25193,
8_0608,5741,1,,"",0,426860,25194,
8_0630,5741,1,,"",0,426860,25194,
8_0700,5741,1,,"",0,426860,25194,
8_0730,5741,1,,"",0,426860,25194,
8_0800,5741,1,,"",0,426860,25194,
8_0830,5741,1,,"",0,426860,25194,
8_0900,5741,1,,"",0,426860,25194,
8_0930,5741,1,,"",0,426860,25194,
8_1000,5741,1,,"",0,426860,25194,
8_1030,5741,1,,"",0,426860,25194,
8_1100,5741,1,,"",0,426860,25194,
8_1130,5741,1,,"",0,426860,25194,
8_1200,5741,1,,"",0,426860,25194,
8_1230,5741,1,,"",0,426860,25194,
8_1300,5741,1,,"",0,426860,25194,
8_1330,5741,1,,"",0,426860,25194,
8_1400,5741,1,,"",0,426860,25194,
8_1430,5741,1,,"",0,426860,25194,
8_1500,5741,1,,"",0,426860,25194,
8_1530,5741,1,,"",0,426860,25194,
8_1600,5741,1,,"",0,426860,25194,
8_1630,5741,1,,"",0,426860,25194,
8_1700,5741,1,,"",0,426860,25194,
8_1730,5741,1,,"",0,426860,25194,
8_1800,5741,1,,"",0,426860,25194,
8_1830,5741,1,,"",0,426860,25194,
8_1900,5741,1,,"",0,426860,25194,
8_1930,5741,1,,"",0,426860,25194,
8_2000,5741,1,,"",0,426860,25194,
8_2030,5741,1,,"",0,426860,25194,
8S_1030,5741,2,,"",1,426876,25195,
8S_1130,5741,2,,"",1,426876,25195,
8S_1230,5741,2,,"",1,426876,25195,
8S_1330,5741,2,,"",1,426876,25195,
8S_1430,5741,2,,"",1,426876,25195,
8S_1530,5741,2,,"",1,426876,25195,
8S_1630,5741,2,,"",1,426876,25195,
8S_1730,5741,2,,"",1,426876,25195,
8S_1830,5741,2,,"",0,426876,25194,
9_0610,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0630,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0700,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0730,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0800,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0830,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0900,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_0930,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1000,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1030,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1100,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1130,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1200,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1230,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1300,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1330,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1400,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1430,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1500,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1530,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1600,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1630,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1700,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1730,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1800,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1830,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1900,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_1930,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_2000,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9_2030,5743,1,"NW Logan, 1800 N","",0,426861,19493,
9S_1010,5743,2,"NW Logan, 1800 N","",0,426874,19772,
9S_1100,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1200,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1300,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1400,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1500,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1600,5743,2,"NW Logan, 1800 N","",0,426874,19493,
